-183.800, 80.200, 0.000,  0.000
-183.800, 80.200, 0.000,  0.016
-183.800, 80.200, 0.000,  0.049
-183.800, 80.200, 0.000,  0.082
-183.800, 80.200, -0.012,  0.115
-183.800, 80.199, 0.029,  0.148
-183.800, 80.198, 0.028,  0.181
-183.800, 80.197, 0.031,  0.214
-183.800, 80.194, 0.100,  0.247
-183.798, 80.187, 0.212,  0.280
-183.795, 80.176, 0.335,  0.313
-183.791, 80.161, 0.482,  0.346
-183.784, 80.142, 0.566,  0.379
-183.774, 80.117, 0.762,  0.412
-183.760, 80.089, 0.888,  0.445
-183.743, 80.054, 1.067,  0.478
-183.726, 80.014, 1.261,  0.511
-183.708, 79.967, 1.437,  0.544
-183.690, 79.917, 1.559,  0.577
-183.673, 79.864, 1.635,  0.610
-183.655, 79.810, 1.679,  0.643
-183.637, 79.755, 1.700,  0.676
-183.620, 79.702, 1.687,  0.709
-183.603, 79.649, 1.668,  0.742
-183.585, 79.596, 1.657,  0.775
-183.567, 79.544, 1.658,  0.808
-183.549, 79.491, 1.666,  0.841
-183.531, 79.438, 1.676,  0.874
-183.513, 79.385, 1.685,  0.907
-183.494, 79.332, 1.692,  0.940
-183.475, 79.278, 1.698,  0.973
-183.456, 79.224, 1.704,  1.006
-183.437, 79.170, 1.709,  1.039
-183.418, 79.116, 1.712,  1.072
-183.399, 79.062, 1.714,  1.105
-183.379, 79.008, 1.717,  1.138
-183.360, 78.954, 1.722,  1.171
-183.340, 78.900, 1.727,  1.204
-183.320, 78.845, 1.732,  1.237
-183.300, 78.791, 1.738,  1.270
-183.280, 78.736, 1.743,  1.303
-183.260, 78.681, 1.748,  1.336
-183.239, 78.626, 1.753,  1.369
-183.219, 78.571, 1.757,  1.402
-183.199, 78.515, 1.762,  1.435
-183.178, 78.460, 1.766,  1.468
-183.158, 78.405, 1.771,  1.501
-183.137, 78.349, 1.776,  1.534
-183.116, 78.293, 1.780,  1.567
-183.096, 78.237, 1.785,  1.600
-183.075, 78.181, 1.789,  1.633
-183.054, 78.125, 1.794,  1.666
-183.034, 78.069, 1.799,  1.699
-183.013, 78.012, 1.803,  1.732
